neighborhood,med_cost
ALPHABET CITY,859.5
CHELSEA,1600
CHINATOWN,970
CIVIC CENTER,3200
CLINTON,868
EAST VILLAGE,955
FASHION,1191
FINANCIAL,940
FLATIRON,1440
GRAMERCY,1305
GREENWICH VILLAGE-CENTRAL,1282
GREENWICH VILLAGE-WEST,1282
HARLEM-CENTRAL,838
HARLEM-EAST,787
HARLEM-UPPER,838
HARLEM-WEST,838
INWOOD,420
JAVITS CENTER,450
KIPS BAY,1120
LITTLE ITALY,2100
LOWER EAST SIDE,1498
MANHATTAN VALLEY,999
MANHATTAN-UNKNOWN,1191
MIDTOWN CBD,888
MIDTOWN EAST,888
MIDTOWN WEST,888
MORNINGSIDE HEIGHTS,990
MURRAY HILL,831
ROOSEVELT ISLAND,917
SOHO,2000
SOUTHBRIDGE,940
TRIBECA,2408
UPPER EAST SIDE (59-79),1175
UPPER EAST SIDE (79-96),1175
UPPER EAST SIDE (96-110),1175
UPPER WEST SIDE (59-79),999
UPPER WEST SIDE (79-96),999
UPPER WEST SIDE (96-116),999
WASHINGTON HEIGHTS LOWER,550
WASHINGTON HEIGHTS UPPER,550
