"","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.DATE","high.end"
"2",1,"ALPHABET CITY","01 ONE FAMILY DWELLINGS","1",390,61,NA,"A4","189 EAST 7TH STREET","",10009,1,0,1,"987","2,183",1860,1,"A4","09/25/2019","0"
"4",1,"ALPHABET CITY","02 TWO FAMILY DWELLINGS","1",404,1,NA,"B9","166 AVENUE A","",10009,2,0,2,"1,510","4,520",1900,1,"B9","07/22/2019","0"
"5",1,"ALPHABET CITY","02 TWO FAMILY DWELLINGS","1",404,1,NA,"B9","166 AVENUE A","",10009,2,0,2,"1,510","4,520",1900,1,"B9","11/29/2018","0"
"6",1,"ALPHABET CITY","02 TWO FAMILY DWELLINGS","1",404,1,NA,"B9","166 AVENUE A","",10009,2,0,2,"1,510","4,520",1900,1,"B9","11/29/2018","0"
"8",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",372,23,NA,"C1","300 EAST 3RD STREET","",10009,12,0,12,"2,393","7,989",2001,2,"C1","08/08/2019","0"
"11",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",376,41,NA,"C4","745 EAST 6TH STREET, 3C","",10009,28,0,28,"4,542","18,254",1900,2,"C4","09/12/2019","0"
"13",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",387,119,NA,"C7","620 EAST 6TH STREET","",10009,22,2,24,"3,445","13,546",1920,2,"C7","02/27/2019","0"
"14",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",390,50,NA,"C1","209 EAST 7TH STREET, 1W","",10009,29,0,29,"3,900","18,099",1900,2,"C1","11/30/2018","0"
"16",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",393,23,NA,"C7","632 EAST 11TH STREET","",10009,33,2,35,"4,740","19,980",1900,2,"C7","12/05/2018","1"
"19",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",401,15,NA,"C5","510 EAST 6TH STREET","",10009,20,1,21,"4,845","13,854",1900,2,"C5","12/12/2018","1"
"20",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",402,1,NA,"C7","94 AVENUE A","",10009,18,1,19,"2,763","9,156",1920,2,"C7","03/14/2019","1"
"21",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",405,5,NA,"C1","182-184 AVENUE A","",10009,32,0,32,"4,918","15,392",1920,2,"C1","07/02/2019","1"
"22",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",406,27,NA,"C4","544 EAST 13 STREET, 2C","",10009,14,0,14,"2,468","10,888",1900,2,"C4","06/04/2019","0"
"23",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",406,27,NA,"C4","544 EAST 13TH STREET, 4AB","",10009,14,0,14,"2,468","10,888",1900,2,"C4","06/04/2019","0"
"24",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2",406,27,NA,"C4","544 EAST 13TH STREET, GA","",10009,14,0,14,"2,468","10,888",1900,2,"C4","01/31/2019","0"
"25",1,"ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2",372,12,NA,"D9","278 EAST 3RD STREET","",10009,18,0,18,"5,095","26,780",1900,2,"D9","07/30/2019","1"
"27",1,"ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2",393,25,NA,"D5","636-640 EAST 11TH STREET","",10009,30,0,30,"7,109","27,362",1985,2,"D5","09/11/2019","0"
