X,BOROUGH,NEIGHBORHOOD,BUILDING.CLASS.CATEGORY,BLOCK,EASE.MENT,APARTMENT.NUMBER,RESIDENTIAL.UNITS,COMMERCIAL.UNITS,TOTAL.UNITS,LAND.SQUARE.FEET,GROSS.SQUARE.FEET,YEAR.BUILT,TAX.CLASS.AT.TIME.OF.SALE,BUILDING.CLASS.AT.TIME.OF.SALE,high.end,sale_year,sale_month,sale_day,sale_minus_built,building_class_same
2,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,390,NA,,TRUE,FALSE,TRUE,808,1165,1860,1,A4,0,2019,9,25,159,0
4,1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,404,NA,,TRUE,FALSE,TRUE,83,2062,1900,1,B9,0,2019,7,22,119,0
5,1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,404,NA,,TRUE,FALSE,TRUE,83,2062,1900,1,B9,0,2018,11,29,118,0
6,1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,404,NA,,TRUE,FALSE,TRUE,83,2062,1900,1,B9,0,2018,11,29,118,0
8,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,372,NA,,TRUE,FALSE,TRUE,368,2735,2001,2,C1,0,2019,8,8,18,0
11,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,376,NA,,TRUE,FALSE,TRUE,619,1041,1900,2,C4,0,2019,9,12,119,0
13,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,387,NA,,TRUE,TRUE,TRUE,536,905,1920,2,C7,0,2019,2,27,99,0
14,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,390,NA,,TRUE,FALSE,TRUE,568,1040,1900,2,C1,0,2018,11,30,118,0
16,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,393,NA,,TRUE,TRUE,TRUE,628,1065,1900,2,C7,1,2018,12,5,118,0
19,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,401,NA,,TRUE,TRUE,TRUE,635,909,1900,2,C5,1,2018,12,12,118,0
20,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,402,NA,,TRUE,TRUE,TRUE,448,3023,1920,2,C7,1,2019,3,14,99,0
21,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,405,NA,,TRUE,FALSE,TRUE,639,966,1920,2,C1,1,2019,7,2,99,0
22,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,406,NA,,TRUE,FALSE,TRUE,379,805,1900,2,C4,0,2019,6,4,119,0
23,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,406,NA,,TRUE,FALSE,TRUE,379,805,1900,2,C4,0,2019,6,4,119,0
24,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,406,NA,,TRUE,FALSE,TRUE,379,805,1900,2,C4,0,2019,1,31,119,0
25,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,372,NA,,TRUE,FALSE,TRUE,665,1584,1900,2,D9,1,2019,7,30,119,0
27,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,393,NA,,TRUE,FALSE,TRUE,722,1596,1985,2,D5,0,2019,9,11,34,0
28,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,393,NA,,TRUE,FALSE,TRUE,361,2878,2001,2,D1,0,2019,8,8,18,0
29,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,406,NA,,TRUE,TRUE,TRUE,669,1620,2009,2,D9,1,2018,11,1,9,0
31,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,406,NA,,TRUE,TRUE,TRUE,669,1620,2009,2,D9,0,2018,11,1,9,0
32,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,406,NA,,TRUE,TRUE,TRUE,669,1620,2009,2,D9,0,2018,11,1,9,0
33,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,406,NA,,TRUE,TRUE,TRUE,669,1620,2009,2,D9,0,2018,11,1,9,0
35,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,374,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,4,30,119,0
37,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,376,NA,,FALSE,FALSE,FALSE,369.5,1772,1928,2,C6,0,2018,12,19,90,0
41,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,377,NA,,FALSE,FALSE,FALSE,369.5,1772,2001,2,C6,0,2018,12,10,17,0
42,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,377,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2018,11,29,118,0
43,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,379,NA,,FALSE,FALSE,FALSE,369.5,1772,1930,2,C6,0,2019,9,24,89,0
45,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,379,NA,,FALSE,FALSE,FALSE,369.5,1772,1930,2,C6,0,2018,10,29,88,0
46,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,379,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,5,15,119,0
47,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,387,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,6,3,119,0
48,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,389,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,5,10,119,0
49,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,389,NA,,FALSE,FALSE,FALSE,369.5,1772,1950,2,C6,0,2018,10,24,68,0
50,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,389,NA,,FALSE,FALSE,FALSE,369.5,1772,1950,2,C6,0,2018,10,9,68,0
51,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,391,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,7,25,109,0
52,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,391,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,1,22,109,0
53,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,391,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2018,10,31,108,0
54,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,391,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,8,20,109,0
55,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,391,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,6,21,109,0
58,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,396,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,4,4,99,0
59,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,396,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,1,31,99,0
60,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,400,NA,,FALSE,FALSE,FALSE,369.5,1772,1937,2,C6,0,2019,9,12,82,0
62,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,400,NA,,FALSE,FALSE,FALSE,369.5,1772,1937,2,C6,0,2019,7,12,82,0
64,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,404,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,4,17,99,0
65,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,406,NA,,FALSE,FALSE,FALSE,369.5,1772,1925,2,C6,0,2019,1,24,94,0
66,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,406,NA,,FALSE,FALSE,FALSE,369.5,1772,1901,2,C6,0,2018,10,29,117,0
67,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,406,NA,,FALSE,FALSE,FALSE,369.5,1772,1901,2,C6,0,2018,10,9,117,0
68,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,406,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2018,11,8,118,0
69,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,406,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2018,10,31,118,0
70,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,382,NA,,FALSE,FALSE,FALSE,369.5,1772,1950,2,D4,0,2019,8,29,69,0
71,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,382,NA,,FALSE,FALSE,FALSE,369.5,1772,1950,2,D4,0,2019,6,10,69,0
72,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,385,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,D4,0,2019,7,18,119,0
73,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,386,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,D0,0,2019,8,8,79,0
74,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,386,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,D0,0,2019,4,5,79,0
75,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,386,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,D4,0,2019,6,28,119,0
